lemma	reconstructed_semitic_forms
masgabes	
masgau[	
masgiuini	
masguen	mšgwᶜn
masicama	
masiddice	
masidenis	
masierkar	
masiese	
masifianus	
masigama	
masik	
masineca	
masinissa	
masinissa	
masinissae	
masinissam	
masinius	
masintham	
masinthan	
masinthanis	
masiran	mᶜsyrḥn ; msyrᶜn
masirsumae	
masi[	
maslae	
masmaconis	
masnabubae	
masnit	
maso	
maso[	
masof	bnw mswfᵓ
masof	
masofis	
masofius	
masonia	
masopis	
massamai[	
massamari	
masse	
massenaganis	
massic[	
massici[	
massicla	
massiese	
massiranis	
massiua	
massiuam	
massiue	
masso	
massuea	
massugradae	
massulus	
massuricus	
mastalai	
mastanabale	bᶜl
mastanabalis	
mastanesosi	mštnsn ; mštnzn ; mštnḍn ; zwᵓsn
masthalul	
masthan[	
masthara	
masties	
mastiman	
mastlius	
mastliuam	
mastumae	
mastunti	
masucani	
masul	
masula	
masulis	
masuna	
masunae	
masupiani	
masupius	
masur	
masuri	
masurius	
masus	
matala	
matanica	
matas	
matauta	
maten	
matenii	
mathacianus	
mathamodis	
mather	
mathlich	
mathumannum	
mathun	
matica	
matif	
matiga	
matih	
matila	
matilam	mtᵓlᵓ ; mtᵓlt
matina	
matis	
matius	
matona	
matoncelia	
matronim	
mattasius	
matthaca	
mattia	
mattius	
matuia	
matulina	
matun	
matuni	
matunis	
matusiuia	
matussenia	
matut	
matzon	
matzones	
mauadio	
maubbal	mtbᶜl
mazacus	
mazaetulli	
mazaetullus	--bᶜl
mazana	
mazbalis	(ᵓ)mtbᶜl
mazic	mzġ
mazica	
mazicat	
mazics	
mazix	
mazuca	
mazzic	
mecrasi	
medaduli	mddbᶜl
medden	
medid	
medoc[	
medoceni	
medocius	
medur	
meduri	
meduria	
mefellesen	
meggeni	
meggenis	
meggent	
meggin	
megginus	
megonia	
megsen	
meilan	
meithunis	
melaudus	
meniden	
merasgun	
mescar	
mescellius	
mescenia	
mese	
mesonia	
mestan	
met[	
metasan	
metatis	
metcun	
metha	
methat	
methatis	
methes	
methimannum	
methres	
methun	
methunilim	mtnᵓlm
methus	
methymno	
metonia	
metonis	
metres	
mettes	
metthes	
metthun	
metthunis	
metthunus	
mettun	
mettuni	
mettunis	
metumus	
metun	
metuni	
metus	
metusanis	
meuzzen	
mgera	
mian	
miane	
mibiris	
mica	
micara	
miccasi	
micce	
miccgi[	
miccin	
miccina	
micin[	
micionis	
micipsa	
micipsa	
micipsae	
micipsam	
mictaeas	
miculisen	
micurenus	
midalatis	
midmanim	
mificum	
mig[	
miga	
migg	
miggin	
migginae	
migginem	
miggini	
migginia	
migginis	
migginniatunis	
migginus	
miggius	
migiginem	
migin	
migini	
miginis	
miha	
milcatonis	mylkᶜtn ; mlkᶜtn ; ᶜtn
milchaton	
milchatonis	
milcho	
milcin	
milichus	
milimo	
milimon	
milimonia	
millu	
milthumbal	
milthun	
milthunis	
mindia	
mindig	
mingin	
mininna	
mininnus	
minisai	
minna	
minthonia	
minthonii	
minthonis	
minthonius	
mioinedin	
mirmidonis	
mirnoria	
mirsine	
mirzi	
misantan	
misantas	
miscadaius	
misekor	
misic[	
misicir	
misiciri	
misicit	MšGT
misictri	
misigit	
misimia	
misimon	
misincius	
misinins	
mismanttonius	
misre	mzrḥ
missunes	
mistli[	
mistria	
mit	
mitani[	
mitatis	
mithimi	
mithini	
mitilci	
mitthia	
mittia	
mitthunbal	
mittuni	
mitun	
mitunbal	
mizguar	
mlutus	
mocconi	
mocconis	
moci	
mocimuli	
mocimus	
modare	
moflontius	
molphioniis	
mon.san	
monae	
mondonis	
monimus	
monis	
monistellus	
monna	
monnica	
monnina	
monnis	
monnula	
montio	
monula	
morinis	
morinus	
mosa	
mosina	
motmanio	
motthun	
moza	
mtyn	
muct[	
muctius	
mudui	
mufthum	
muganii	
muggunis	
muiihunbal	
muiium	
muimonimus	
muithumbalis	
muithun	
mulosim	
mulsulae	
multhumbalis	
multunos	
multus	
muracis	
murbacina	
murcila	
muricila	
muriferum	
murilla	
muruc	
musania	
musauis	
musianus	
musibia	
musilu	
mussia	
mussii	
mussius	
mussosa	
musta	
mustacia	
mustaciae	
mustecus	
mustela	
mustele	
mustelus	
musteoli	
musteolus	
musthumbalis	
musti	
mustia	
mustianus	
mustio	
mustioli	
mustiolus	
mustitoniu[s]	
mustius	MSTI, MSTH, MšTH
mustiuius	
mustolus	
mustu	
mustula	
mustule	
mustulus	
mustuni	
mustus	
musunia	
mususis	
muteolus	
muthum	
muthumbal	mtnbᶜl
muthumbalis	
muthun	
muthunbal	
muthune	
muthunilim	mtnᵓlm
muthunis	
muthunos	
muthunus	
muthuttiae	
mutisa	
mutrar	
mutthumbalis	
mutthumbalis	
mutthumbalis	
mutthun	
mutthun[	
mutthunbal	
mutthunilim	
mutthunis	
muttine	
muttinem	
muttinen	
muttines	
muttini	
muttinis	
muttius	
mutto	
muttonis	
muttun	
mutum	
mutumbal	
mutumbalis	
mutun..	
mutunbalis	
mutunchlieris	
mutunim	
mutunis	
mutzuar	
mygdonem,	
mygen	
myggyn	
myridis	
mythicsin	
mythumba[	
mythumbal	
mythumilim	
mythunibal	
mytthum[	
mytthymbal	
mzandulis	
n[  ]hestha	
nab[ ]im	
nababi	
nabdalsa	
nabdalsam	
nabdasen	
nabdhsen	
naber[	
nabera	
naberi	
naberim	
nabigius	
nabira	
nabis	
nabor	
naborianus	
naboris	
nabra	
nabtafis	
nabu	
naburu	
nabuzabatus	
nacusan	
nadanis	
nadese	
nados	
nafaminna	nᶜm pᶜm
nafamo	
naffaniani	
nafi	
nagede	
nagud	
nagudianus	
nahania	
nahanius	
naila	
nainis	
naltzal	
naltzalus	
nama[	
